"TIME","GEO","QUANTILE","INDIC_IL","CURRENCY","Value","Flag and Footnotes"
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Second quintile","Share of national equivalised income","Euro","13.3","e"
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Third quintile","Top cut-off point","Euro","19,083","e"
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Third quintile","Share of national equivalised income","Euro","17.5","e"
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Fourth quintile","Top cut-off point","Euro","25,445","e"
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Fourth quintile","Share of national equivalised income","Euro","22.8","e"
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Fifth quintile","Top cut-off point","Euro",":",""
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Fifth quintile","Share of national equivalised income","Euro","38.6","e"
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","First decile","Top cut-off point","Euro","8,467","e"
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","First decile","Share of national equivalised income","Euro","2.8","e"
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Second decile","Top cut-off point","Euro","10,916","e"
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Second decile","Share of national equivalised income","Euro","5.0","e"
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Third decile","Top cut-off point","Euro","12,911","e"
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Third decile","Share of national equivalised income","Euro","6.1","e"
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Fourth decile","Top cut-off point","Euro","14,842","e"
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Fourth decile","Share of national equivalised income","Euro","7.2","e"
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Fifth decile","Top cut-off point","Euro","16,866","e"
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Fifth decile","Share of national equivalised income","Euro","8.2","e"
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Sixth decile","Top cut-off point","Euro","19,085","e"
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Sixth decile","Share of national equivalised income","Euro","9.3","e"
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Seventh decile","Top cut-off point","Euro","21,802","e"
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Seventh decile","Share of national equivalised income","Euro","10.6","e"
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Eighth decile","Top cut-off point","Euro","25,446","e"
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Eighth decile","Share of national equivalised income","Euro","12.2","e"
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Ninth decile","Top cut-off point","Euro","31,733","e"
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Ninth decile","Share of national equivalised income","Euro","14.7","e"
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Tenth decile","Top cut-off point","Euro",":",""
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Tenth decile","Share of national equivalised income","Euro","23.9","e"
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","First percentile","Top cut-off point","Euro","2,795","e"
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","First percentile","Share of national equivalised income","Euro","0.0","e"
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Second percentile","Top cut-off point","Euro","4,341","e"
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Second percentile","Share of national equivalised income","Euro","0.2","e"
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Third percentile","Top cut-off point","Euro","5,280","e"
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Third percentile","Share of national equivalised income","Euro","0.2","e"
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Fourth percentile","Top cut-off point","Euro","5,993","e"
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Fourth percentile","Share of national equivalised income","Euro","0.3","e"
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Fifth percentile","Top cut-off point","Euro","6,582","e"
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Fifth percentile","Share of national equivalised income","Euro","0.3","e"
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Ninety-fifth percentile","Top cut-off point","Euro","38,993","e"
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Ninety-fifth percentile","Share of national equivalised income","Euro","2.0","e"
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Ninety-sixth percentile","Top cut-off point","Euro","41,423","e"
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Ninety-sixth percentile","Share of national equivalised income","Euro","2.1","e"
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Ninety-seventh percentile","Top cut-off point","Euro","45,063","e"
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Ninety-seventh percentile","Share of national equivalised income","Euro","2.3","e"
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Ninety-eighth percentile","Top cut-off point","Euro","51,116","e"
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Ninety-eighth percentile","Share of national equivalised income","Euro","2.5","e"
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Ninety-ninth percentile","Top cut-off point","Euro","62,403","e"
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Ninety-ninth percentile","Share of national equivalised income","Euro","2.9","e"
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Hundredth percentile","Top cut-off point","Euro",":",""
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Hundredth percentile","Share of national equivalised income","Euro","5.1","e"
"2017","European Union - 27 countries (from 2020)","First quartile","Top cut-off point","Euro","11,512","e"
"2017","European Union - 27 countries (from 2020)","First quartile","Share of national equivalised income","Euro","10.8","e"
"2017","European Union - 27 countries (from 2020)","Second quartile","Top cut-off point","Euro","16,254","e"
"2017","European Union - 27 countries (from 2020)","Second quartile","Share of national equivalised income","Euro","18.7","e"
"2017","European Union - 27 countries (from 2020)","Third quartile","Top cut-off point","Euro","22,345","e"
"2017","European Union - 27 countries (from 2020)","Third quartile","Share of national equivalised income","Euro","25.9","e"
"2017","European Union - 27 countries (from 2020)","Fourth quartile","Top cut-off point","Euro",":",""
"2017","European Union - 27 countries (from 2020)","Fourth quartile","Share of national equivalised income","Euro","44.6","e"
"2017","European Union - 27 countries (from 2020)","First quintile","Top cut-off point","Euro","10,552","e"
"2017","European Union - 27 countries (from 2020)","First quintile","Share of national equivalised income","Euro","7.8","e"
"2017","European Union - 27 countries (from 2020)","Second quintile","Top cut-off point","Euro","14,348","e"
"2017","European Union - 27 countries (from 2020)","Second quintile","Share of national equivalised income","Euro","13.4","e"
"2017","European Union - 27 countries (from 2020)","Third quintile","Top cut-off point","Euro","18,352","e"
"2017","European Union - 27 countries (from 2020)","Third quintile","Share of national equivalised income","Euro","17.6","e"
"2017","European Union - 27 countries (from 2020)","Fourth quintile","Top cut-off point","Euro","24,199","e"
"2017","European Union - 27 countries (from 2020)","Fourth quintile","Share of national equivalised income","Euro","22.9","e"
"2017","European Union - 27 countries (from 2020)","Fifth quintile","Top cut-off point","Euro",":",""
"2017","European Union - 27 countries (from 2020)","Fifth quintile","Share of national equivalised income","Euro","38.2","e"
"2017","European Union - 27 countries (from 2020)","First decile","Top cut-off point","Euro","8,151","e"
"2017","European Union - 27 countries (from 2020)","First decile","Share of national equivalised income","Euro","2.9","e"
"2017","European Union - 27 countries (from 2020)","Second decile","Top cut-off point","Euro","10,553","e"
"2017","European Union - 27 countries (from 2020)","Second decile","Share of national equivalised income","Euro","5.0","e"
"2017","European Union - 27 countries (from 2020)","Third decile","Top cut-off point","Euro","12,484","e"
"2017","European Union - 27 countries (from 2020)","Third decile","Share of national equivalised income","Euro","6.2","e"
"2017","European Union - 27 countries (from 2020)","Fourth decile","Top cut-off point","Euro","14,347","e"
"2017","European Union - 27 countries (from 2020)","Fourth decile","Share of national equivalised income","Euro","7.2","e"
"2017","European Union - 27 countries (from 2020)","Fifth decile","Top cut-off point","Euro","16,251","e"
"2017","European Union - 27 countries (from 2020)","Fifth decile","Share of national equivalised income","Euro","8.3","e"
"2017","European Union - 27 countries (from 2020)","Sixth decile","Top cut-off point","Euro","18,353","e"
"2017","European Union - 27 countries (from 2020)","Sixth decile","Share of national equivalised income","Euro","9.4","e"
"2017","European Union - 27 countries (from 2020)","Seventh decile","Top cut-off point","Euro","20,858","e"
"2017","European Union - 27 countries (from 2020)","Seventh decile","Share of national equivalised income","Euro","10.6","e"
"2017","European Union - 27 countries (from 2020)","Eighth decile","Top cut-off point","Euro","24,200","e"
"2017","European Union - 27 countries (from 2020)","Eighth decile","Share of national equivalised income","Euro","12.2","e"
"2017","European Union - 27 countries (from 2020)","Ninth decile","Top cut-off point","Euro","30,058","e"
"2017","European Union - 27 countries (from 2020)","Ninth decile","Share of national equivalised income","Euro","14.6","e"
"2017","European Union - 27 countries (from 2020)","Tenth decile","Top cut-off point","Euro",":",""
"2017","European Union - 27 countries (from 2020)","Tenth decile","Share of national equivalised income","Euro","23.6","e"
"2017","European Union - 27 countries (from 2020)","First percentile","Top cut-off point","Euro","2,686","e"
"2017","European Union - 27 countries (from 2020)","First percentile","Share of national equivalised income","Euro","0.0","e"
"2017","European Union - 27 countries (from 2020)","Second percentile","Top cut-off point","Euro","4,130","e"
"2017","European Union - 27 countries (from 2020)","Second percentile","Share of national equivalised income","Euro","0.2","e"
"2017","European Union - 27 countries (from 2020)","Third percentile","Top cut-off point","Euro","5,016","e"
"2017","European Union - 27 countries (from 2020)","Third percentile","Share of national equivalised income","Euro","0.2","e"
"2017","European Union - 27 countries (from 2020)","Fourth percentile","Top cut-off point","Euro","5,728","e"
"2017","European Union - 27 countries (from 2020)","Fourth percentile","Share of national equivalised income","Euro","0.3","e"
"2017","European Union - 27 countries (from 2020)","Fifth percentile","Top cut-off point","Euro","6,320","e"
"2017","European Union - 27 countries (from 2020)","Fifth percentile","Share of national equivalised income","Euro","0.3","e"
"2017","European Union - 27 countries (from 2020)","Ninety-fifth percentile","Top cut-off point","Euro","36,760","e"
"2017","European Union - 27 countries (from 2020)","Ninety-fifth percentile","Share of national equivalised income","Euro","2.0","e"
"2017","European Union - 27 countries (from 2020)","Ninety-sixth percentile","Top cut-off point","Euro","39,044","e"
"2017","European Union - 27 countries (from 2020)","Ninety-sixth percentile","Share of national equivalised income","Euro","2.1","e"
"2017","European Union - 27 countries (from 2020)","Ninety-seventh percentile","Top cut-off point","Euro","42,448","e"
"2017","European Union - 27 countries (from 2020)","Ninety-seventh percentile","Share of national equivalised income","Euro","2.2","e"
"2017","European Union - 27 countries (from 2020)","Ninety-eighth percentile","Top cut-off point","Euro","48,065","e"
"2017","European Union - 27 countries (from 2020)","Ninety-eighth percentile","Share of national equivalised income","Euro","2.5","e"
"2017","European Union - 27 countries (from 2020)","Ninety-ninth percentile","Top cut-off point","Euro","58,772","e"
"2017","European Union - 27 countries (from 2020)","Ninety-ninth percentile","Share of national equivalised income","Euro","2.9","e"
"2017","European Union - 27 countries (from 2020)","Hundredth percentile","Top cut-off point","Euro",":",""
"2017","European Union - 27 countries (from 2020)","Hundredth percentile","Share of national equivalised income","Euro","4.9","e"
"2017","European Union - 28 countries (2013-2020)","First quartile","Top cut-off point","Euro","11,909","e"
"2017","European Union - 28 countries (2013-2020)","First quartile","Share of national equivalised income","Euro","10.7","e"
"2017","European Union - 28 countries (2013-2020)","Second quartile","Top cut-off point","Euro","16,868","e"
"2017","European Union - 28 countries (2013-2020)","Second quartile","Share of national equivalised income","Euro","18.5","e"
"2017","European Union - 28 countries (2013-2020)","Third quartile","Top cut-off point","Euro","23,407","e"
"2017","European Union - 28 countries (2013-2020)","Third quartile","Share of national equivalised income","Euro","25.8","e"
"2017","European Union - 28 countries (2013-2020)","Fourth quartile","Top cut-off point","Euro",":",""
"2017","European Union - 28 countries (2013-2020)","Fourth quartile","Share of national equivalised income","Euro","44.9","e"
"2017","European Union - 28 countries (2013-2020)","First quintile","Top cut-off point","Euro","10,914","e"
"2017","European Union - 28 countries (2013-2020)","First quintile","Share of national equivalised income","Euro","7.8","e"
"2017","European Union - 28 countries (2013-2020)","Second quintile","Top cut-off point","Euro","14,842","e"
"2017","European Union - 28 countries (2013-2020)","Second quintile","Share of national equivalised income","Euro","13.3","e"
"2017","European Union - 28 countries (2013-2020)","Third quintile","Top cut-off point","Euro","19,083","e"
"2017","European Union - 28 countries (2013-2020)","Third quintile","Share of national equivalised income","Euro","17.5","e"
"2017","European Union - 28 countries (2013-2020)","Fourth quintile","Top cut-off point","Euro","25,445","e"
"2017","European Union - 28 countries (2013-2020)","Fourth quintile","Share of national equivalised income","Euro","22.8","e"
"2017","European Union - 28 countries (2013-2020)","Fifth quintile","Top cut-off point","Euro",":",""
"2017","European Union - 28 countries (2013-2020)","Fifth quintile","Share of national equivalised income","Euro","38.6","e"
"2017","European Union - 28 countries (2013-2020)","First decile","Top cut-off point","Euro","8,467","e"
"2017","European Union - 28 countries (2013-2020)","First decile","Share of national equivalised income","Euro","2.8","e"
"2017","European Union - 28 countries (2013-2020)","Second decile","Top cut-off point","Euro","10,916","e"
"2017","European Union - 28 countries (2013-2020)","Second decile","Share of national equivalised income","Euro","5.0","e"
"2017","European Union - 28 countries (2013-2020)","Third decile","Top cut-off point","Euro","12,911","e"
"2017","European Union - 28 countries (2013-2020)","Third decile","Share of national equivalised income","Euro","6.1","e"
"2017","European Union - 28 countries (2013-2020)","Fourth decile","Top cut-off point","Euro","14,842","e"
"2017","European Union - 28 countries (2013-2020)","Fourth decile","Share of national equivalised income","Euro","7.2","e"
"2017","European Union - 28 countries (2013-2020)","Fifth decile","Top cut-off point","Euro","16,866","e"
"2017","European Union - 28 countries (2013-2020)","Fifth decile","Share of national equivalised income","Euro","8.2","e"
"2017","European Union - 28 countries (2013-2020)","Sixth decile","Top cut-off point","Euro","19,085","e"
"2017","European Union - 28 countries (2013-2020)","Sixth decile","Share of national equivalised income","Euro","9.3","e"
"2017","European Union - 28 countries (2013-2020)","Seventh decile","Top cut-off point","Euro","21,802","e"
"2017","European Union - 28 countries (2013-2020)","Seventh decile","Share of national equivalised income","Euro","10.6","e"
"2017","European Union - 28 countries (2013-2020)","Eighth decile","Top cut-off point","Euro","25,446","e"
"2017","European Union - 28 countries (2013-2020)","Eighth decile","Share of national equivalised income","Euro","12.2","e"
"2017","European Union - 28 countries (2013-2020)","Ninth decile","Top cut-off point","Euro","31,733","e"
"2017","European Union - 28 countries (2013-2020)","Ninth decile","Share of national equivalised income","Euro","14.7","e"
"2017","European Union - 28 countries (2013-2020)","Tenth decile","Top cut-off point","Euro",":",""
"2017","European Union - 28 countries (2013-2020)","Tenth decile","Share of national equivalised income","Euro","23.9","e"
"2017","European Union - 28 countries (2013-2020)","First percentile","Top cut-off point","Euro","2,795","e"
"2017","European Union - 28 countries (2013-2020)","First percentile","Share of national equivalised income","Euro","0.0","e"
"2017","European Union - 28 countries (2013-2020)","Second percentile","Top cut-off point","Euro","4,341","e"
"2017","European Union - 28 countries (2013-2020)","Second percentile","Share of national equivalised income","Euro","0.2","e"
"2017","European Union - 28 countries (2013-2020)","Third percentile","Top cut-off point","Euro","5,280","e"
"2017","European Union - 28 countries (2013-2020)","Third percentile","Share of national equivalised income","Euro","0.2","e"
"2017","European Union - 28 countries (2013-2020)","Fourth percentile","Top cut-off point","Euro","5,993","e"
"2017","European Union - 28 countries (2013-2020)","Fourth percentile","Share of national equivalised income","Euro","0.3","e"
"2017","European Union - 28 countries (2013-2020)","Fifth percentile","Top cut-off point","Euro","6,582","e"
"2017","European Union - 28 countries (2013-2020)","Fifth percentile","Share of national equivalised income","Euro","0.3","e"
"2017","European Union - 28 countries (2013-2020)","Ninety-fifth percentile","Top cut-off point","Euro","38,993","e"
"2017","European Union - 28 countries (2013-2020)","Ninety-fifth percentile","Share of national equivalised income","Euro","2.0","e"
"2017","European Union - 28 countries (2013-2020)","Ninety-sixth percentile","Top cut-off point","Euro","41,423","e"
"2017","European Union - 28 countries (2013-2020)","Ninety-sixth percentile","Share of national equivalised income","Euro","2.1","e"
"2017","European Union - 28 countries (2013-2020)","Ninety-seventh percentile","Top cut-off point","Euro","45,063","e"
"2017","European Union - 28 countries (2013-2020)","Ninety-seventh percentile","Share of national equivalised income","Euro","2.3","e"
"2017","European Union - 28 countries (2013-2020)","Ninety-eighth percentile","Top cut-off point","Euro","51,116","e"
"2017","European Union - 28 countries (2013-2020)","Ninety-eighth percentile","Share of national equivalised income","Euro","2.5","e"
"2017","European Union - 28 countries (2013-2020)","Ninety-ninth percentile","Top cut-off point","Euro","62,403","e"
"2017","European Union - 28 countries (2013-2020)","Ninety-ninth percentile","Share of national equivalised income","Euro","2.9","e"
"2017","European Union - 28 countries (2013-2020)","Hundredth percentile","Top cut-off point","Euro",":",""
"2017","European Union - 28 countries (2013-2020)","Hundredth percentile","Share of national equivalised income","Euro","5.1","e"
"2017","European Union - 27 countries (2007-2013)","First quartile","Top cut-off point","Euro","11,973","e"
"2017","European Union - 27 countries (2007-2013)","First quartile","Share of national equivalised income","Euro","10.7","e"
"2017","European Union - 27 countries (2007-2013)","Second quartile","Top cut-off point","Euro","16,956","e"
"2017","European Union - 27 countries (2007-2013)","Second quartile","Share of national equivalised income","Euro","18.5","e"
"2017","European Union - 27 countries (2007-2013)","Third quartile","Top cut-off point","Euro","23,529","e"
"2017","European Union - 27 countries (2007-2013)","Third quartile","Share of national equivalised income","Euro","25.8","e"
"2017","European Union - 27 countries (2007-2013)","Fourth quartile","Top cut-off point","Euro",":",""
"2017","European Union - 27 countries (2007-2013)","Fourth quartile","Share of national equivalised income","Euro","44.9","e"
"2017","European Union - 27 countries (2007-2013)","First quintile","Top cut-off point","Euro","10,974","e"
"2017","European Union - 27 countries (2007-2013)","First quintile","Share of national equivalised income","Euro","7.8","e"
"2017","European Union - 27 countries (2007-2013)","Second quintile","Top cut-off point","Euro","14,920","e"
"2017","European Union - 27 countries (2007-2013)","Second quintile","Share of national equivalised income","Euro","13.3","e"
"2017","European Union - 27 countries (2007-2013)","Third quintile","Top cut-off point","Euro","19,182","e"
"2017","European Union - 27 countries (2007-2013)","Third quintile","Share of national equivalised income","Euro","17.5","e"
"2017","European Union - 27 countries (2007-2013)","Fourth quintile","Top cut-off point","Euro","25,578","e"
"2017","European Union - 27 countries (2007-2013)","Fourth quintile","Share of national equivalised income","Euro","22.8","e"
"2017","European Union - 27 countries (2007-2013)","Fifth quintile","Top cut-off point","Euro",":",""
"2017","European Union - 27 countries (2007-2013)","Fifth quintile","Share of national equivalised income","Euro","38.6","e"
"2017","European Union - 27 countries (2007-2013)","First decile","Top cut-off point","Euro","8,514","e"
"2017","European Union - 27 countries (2007-2013)","First decile","Share of national equivalised income","Euro","2.8","e"
"2017","European Union - 27 countries (2007-2013)","Second decile","Top cut-off point","Euro","10,975","e"
"2017","European Union - 27 countries (2007-2013)","Second decile","Share of national equivalised income","Euro","5.0","e"
"2017","European Union - 27 countries (2007-2013)","Third decile","Top cut-off point","Euro","12,980","e"
"2017","European Union - 27 countries (2007-2013)","Third decile","Share of national equivalised income","Euro","6.1","e"
"2017","European Union - 27 countries (2007-2013)","Fourth decile","Top cut-off point","Euro","14,920","e"
"2017","European Union - 27 countries (2007-2013)","Fourth decile","Share of national equivalised income","Euro","7.2","e"
"2017","European Union - 27 countries (2007-2013)","Fifth decile","Top cut-off point","Euro","16,954","e"
"2017","European Union - 27 countries (2007-2013)","Fifth decile","Share of national equivalised income","Euro","8.2","e"
"2017","European Union - 27 countries (2007-2013)","Sixth decile","Top cut-off point","Euro","19,184","e"
"2017","European Union - 27 countries (2007-2013)","Sixth decile","Share of national equivalised income","Euro","9.3","e"
"2017","European Union - 27 countries (2007-2013)","Seventh decile","Top cut-off point","Euro","21,915","e"
"2017","European Union - 27 countries (2007-2013)","Seventh decile","Share of national equivalised income","Euro","10.6","e"
"2017","European Union - 27 countries (2007-2013)","Eighth decile","Top cut-off point","Euro","25,579","e"
"2017","European Union - 27 countries (2007-2013)","Eighth decile","Share of national equivalised income","Euro","12.2","e"
"2017","European Union - 27 countries (2007-2013)","Ninth decile","Top cut-off point","Euro","31,900","e"
"2017","European Union - 27 countries (2007-2013)","Ninth decile","Share of national equivalised income","Euro","14.7","e"
"2017","European Union - 27 countries (2007-2013)","Tenth decile","Top cut-off point","Euro",":",""
"2017","European Union - 27 countries (2007-2013)","Tenth decile","Share of national equivalised income","Euro","23.9","e"
"2017","European Union - 27 countries (2007-2013)","First percentile","Top cut-off point","Euro","2,811","e"
"2017","European Union - 27 countries (2007-2013)","First percentile","Share of national equivalised income","Euro","0.0","e"
"2017","European Union - 27 countries (2007-2013)","Second percentile","Top cut-off point","Euro","4,366","e"
"2017","European Union - 27 countries (2007-2013)","Second percentile","Share of national equivalised income","Euro","0.2","e"
"2017","European Union - 27 countries (2007-2013)","Third percentile","Top cut-off point","Euro","5,311","e"
"2017","European Union - 27 countries (2007-2013)","Third percentile","Share of national equivalised income","Euro","0.2","e"
"2017","European Union - 27 countries (2007-2013)","Fourth percentile","Top cut-off point","Euro","6,027","e"
"2017","European Union - 27 countries (2007-2013)","Fourth percentile","Share of national equivalised income","Euro","0.3","e"
"2017","European Union - 27 countries (2007-2013)","Fifth percentile","Top cut-off point","Euro","6,619","e"
